dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,VISIBILITY,C_CODE,C_DATE_DE_MISE___JOUR,C_PERIODICIT_,C_SOURCE,C_M_THODOLOGIE,C_CAT_GORIE,C_COMMENTAIRE,C_ORGANISATION_CHEF_DE_FILE
OBJ9106949,28418339,Violence sexuelle,28418269,Pourcentage,,Taux de prévalence de la violence sexuelle à l'égard des femmes mariées dans la sphère intime,,"1, 2",,09/10/2020 12:51:26,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2023",V,,Institut National de la Statistique
OBJ9106949,28418349,Violence économique,28418269,Pourcentage,,Taux de prévalence de la violence économique dans la sphère intime à l'égard des femmes mariées dans la sphère intime,,"1, 2",,09/10/2020 12:51:26,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2024",V,,Institut National de la Statistique
OBJ9106949,28418359,Ne travaillent pas/n’ont pas de ressources,28418349,Pourcentage,,Taux de prévalence de la violence économique dans la sphère intime à l'égard des femmes mariées qui ne travaillent pas ou qui n'ont pas de ressources,,"1, 2",,09/10/2020 12:51:26,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2025",V,,Institut National de la Statistique
OBJ9106949,28418369,Travaillent / ont des ressources,28418349,Pourcentage,,Taux de prévalence de la violence économique dans la sphère intime à l'égard des femmes mariées qui travaillent ou ayant des ressources,,"1, 2",,09/10/2020 12:51:26,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2026",V,,Institut National de la Statistique
OBJ9106949,28418559,"Prévalence de la violence globale à l'égard des femmes , selon le milieu",28317709,Pourcentage,,"Prévalence de la violence globale à l'égard des femmes , selon le milieu",,"1, 2",,10/11/2020 21:28:00,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2032",V,,Institut National de la Statistique
OBJ9106949,28418619,Physique,28418559,Pourcentage,,"Prévalence de la violence physique à l'égard des femmes , selon le milieu",,"1, 2",,11/10/2020 21:57:52,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2033",V,,Institut National de la Statistique
OBJ9106949,28418629,Psychologique,28418559,Pourcentage,,"Prévalence de la violence psychologique à l'égard des femmes , selon le milieu",,"1, 2",,11/10/2020 21:57:52,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2034",V,,Institut National de la Statistique
OBJ9106949,28418639,Sexuelle,28418559,Pourcentage,,"Prévalence de la violence sexuelle à l'égard des femmes , selon le milieu",,"1, 2",,11/10/2020 21:57:52,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2035",V,,Institut National de la Statistique
OBJ9106949,28418649,Economique,28418559,Pourcentage,,"Prévalence de la violence économique à l'égard des femmes , selon le milieu",,"1, 2",,11/10/2020 21:57:52,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2036",V,,Institut National de la Statistique
OBJ9106949,28418659,Prévalence de la violence exercée dans la sphère intime selon le type et la période,,Pourcentage,,Prévalence de la violence exercée dans la sphère intime selon le type et la période,,"1, 2",,10/11/2020 22:03:00,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2037",V,,Institut National de la Statistique
OBJ9106949,28317719,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques infligées au cours de leur vie par un partenaire intime,28418659,Pourcentage,,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques infligées au cours de leur vie par un partenaire intime,,"1, 2",90,07/06/2020 22:33:44,Non-répétitive,Institut National de la Statistique,"Enquête nationale sur la violence a l'égard des femmes en Tunisie, Décembre 2038",V,,Institut National de la Statistique
OBJ9106949,28317729,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours de leur vie par un partenaire intime (sexuelle),28418659,,,Prévalence de la violence exercée dans la sphère intime selon le type et la période\Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours de leur vie par un partenaire intime (sexuelle),,"1, 2",91,07/06/2020 22:33:44,,,,,,
OBJ9106949,28317749,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours des 12 derniers mois par un partenaire intime (sexuelle),28418659,,,Prévalence de la violence exercée dans la sphère intime selon le type et la période\Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours des 12 derniers mois par un partenaire intime (sexuelle),,"1, 2",99,07/06/2020 22:33:44,,,,,,
OBJ9106949,28317739,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours des 12 derniers mois par un partenaire intime (physique),28418659,,,Prévalence de la violence exercée dans la sphère intime selon le type et la période\Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques ou sexuelles infligées au cours des 12 derniers mois par un partenaire intime (physique),,"1, 2",55,07/06/2020 22:33:44,,,,,,
OBJ9106949,28418669,Proportion de femmes âgées de 15 à 49 ans victimes de violences infligées au cours des 12 derniers mois par une personne en dehors de l'environnement familial,,Pourcentage,,Proportion de femmes âgées de 15 à 49 ans victimes de violences infligées au cours des 12 derniers mois par une personne en dehors de l'environnement familial,,"1, 2",,11/10/2020 22:12:00,Non-répétitive,Institut National de la Statistique,,,,
OBJ9106949,28317759,Violence physique,28418669,Pourcentage,,Proportion de femmes âgées de 15 à 49 ans victimes de violences physiques infligées au cours des 12 derniers mois par une personne autre qu’un partenaire intime,,"1, 2",56,06/07/2020 22:33:00,Non-répétitive,Institut National de la Statistique,,,,
OBJ9106949,28317769,Violence sexuelle,28418669,Pourcentage,,Proportion de femmes âgées de 15 à 49 ans victimes de violences sexuelle infligées au cours des 12 derniers mois par une personne autre que le partenaire intime,,"1, 2",89,06/07/2020 22:33:00,Non-répétitive,Institut National de la Statistique,,,,
OBJ9106949,28317779,Taux de fertilité (fécondité) chez les adolescentes,,,,Taux de fertilité (fécondité) chez les adolescentes,,"1, 2",59,07/06/2020 22:33:45,,,,,,
