dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,C_SOURCE,C_DATE_DE_MISE___JOUR,VISIBILITY,C_COMMENTAIRE,C_M_THODOLOGIE
OBJ6962629,28048169,Nombre de Logements,,Nombre,,Nombre total des Logements,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048179,Distance séparant le Logement  du plus proche collége,,Nombre,,Distance séparant le logement  du plus proche dispensaire,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048189,Moins de 1 Km,28048179,Nombre,,Nombre des logements distant moins de 1 Km depuis le plus proche dispensaire,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048199,Entre 1 et 2 Km,28048179,Nombre,,Nombre des logements distant entre 1 et 2 Km depuis le plus proche dispensaire,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048209,Plus de 2 Km,28048179,Nombre,,Nombre des logements distant plus de 2 Km depuis le plus proche dispensaire,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048219,Distance séparant le logement de plus proche lycée,,Nombre,,Distance séparant le logement de plus proche hopital local,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048229,Moins de 1 Km,28048219,Nombre,,Nombre des logements distant moins de 1 Km depuis leplus proche hopital local,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048239,Entre 1 et 2 Km,28048219,Nombre,,Nombre des logements distant entre 1 et 2 Km depuis le plus proche hopital local,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
OBJ6962629,28048249,Plus de 2 Km,28048219,Nombre,,Nombre des logements distant plus de 2 Km depuisle plus proche hopital local,,Institut National de la Statistique,31/08/2016 04:27:22,"1, 2",,
