dimension_id,KEY,NAME,parent_key,C_UNIT_,ISCALCULATED,FULLNAME,DESCRIPTION,VISIBILITY,C_CODE,C_DATE_DE_MISE___JOUR,C_P_RIODICIT_,C_SOURCE,C_M_THODOLOGIE,C_CAT_GORIE,C_COMMENTAIRE,C_ORGANISATION_CHEF_DE_FILE
OBJ9106709,28730629,Caractéristiques sanitaires de la population,,,,Caractéristiques sanitaires de la population,,"1, 2",,12/01/2020 13:36:00,,,,,,
OBJ9106709,28317339,"Espérance de vie à la naissance, selon le sexe",28730629,Année,,"Caractéristiques sanitaires de la population\Espérance de vie à la naissance, selon le sexe",,"1, 2",61,07/06/2020 22:05:19,Annuelle,Institut National de la Statistique,,3,,Institut National de la Statistique
OBJ9106709,28317369,"Prévalence du tabagisme chez les 15 ans et plus, par sexe",28730629,Pourcentage,,"Caractéristiques sanitaires de la population\Prévalence du tabagisme chez les 15 ans et plus, par sexe",,"1, 2",42,07/06/2020 22:05:19,Non répétitive,Institut National de la Statistique,"Tabagisme en Tunisie : comportements et connaissances,2002 ;Tunisian Health Examination Survey-2016 et MICS Tunisie, 2018",3,,Institut National de la Statistique
OBJ9106709,28317399,Proportion des personnes âgée de 20 à 69 ans dont l'indice de la masse corporelle est 30 ou plus,28730629,Pourcentage,,Caractéristiques sanitaires de la population\Proportion des personnes âgée de 20 à 69 ans dont l'indice de la masse corporelle est 30 ou plus,,"1, 2",43,07/06/2020 22:05:19,Quinquennal,Institut National de la Statistique,Enquête Consommation et  Niveau de Vie des ménages,3,"D’après l’Organisation Mondiale de la Santé, une personne est considérée obèse si elle a un indice de masse corporelle (IMC) supérieur à 30. L’Indice de Masse Corporelle (IMC) est défini par le rapport du poids sur la taille au carré",Institut National de la Statistique
OBJ9106709,28730689,Proportion des adultes obèses,28730629,Pourcentage,,Proportion des adultes obèses,,"1, 2",,12/01/2020 22:40:00,Quinquennale,Institut National de la Statistique,,3,,Institut National de la Statistique
OBJ9106709,28730599,VIH / SIDA: conscience et infection,,"Nombre, pourcentage",,VIH / SIDA: conscience et infection,,"1, 2",,12/01/2020 11:39:00,Irrégulier,,,,,
OBJ9106709,28729919,Nouvelles infections par le VIH SIDA personnes agées de 15 ans et plus,28730599,Nombre,,VIH / SIDA: conscience et infection\Nouvelles infections par le VIH SIDA personnes agées de 15 ans et plus,,"1, 2",,30/11/2020 20:06:51,Quinquennal,Institut National de la Statistique,,3,البيانات المعروضة تقريبية وتقديرية ولها هامش أنظر المصدر على الرابط (https://www.unaids.org/en/regionscountries/countries/tunisia ; https://www.unaids.org/en/resources/documents/2018/unaids-data-2018),Institut National de la Statistique
OBJ9106709,28317359,"Pourcentage des personnes agées entre 15 et 49 ans, ayant une connaissance approfondie de la transmission du VIH/Sida",28730599,Pourcentage,,"VIH / SIDA: conscience et infection\Pourcentage des personnes agées entre 15 et 49 ans, ayant une connaissance approfondie de la transmission du VIH/Sida",,"1, 2",73,07/06/2020 22:05:19,Quinquennal,Institut National de la Statistique,"MICS Tunisie, 2018",3,,Institut National de la Statistique
OBJ9106709,28729809,Pourcentage des personnes ayant entendu parler du SIDA,28317359,Pourcentage,,Pourcentage des personnes ayant entendu parler du SIDA,,"1, 2",,29/11/2020 20:22:07,Quinquennal,Institut National de la Statistique,"MICS Tunisie, 2019",3,,Institut National de la Statistique
OBJ9106709,28729819,Pourcentage des personnes savant qu'avoir un seule partenaire fidèle et non affecté peut prévenir de la transmission du VIH,28317359,Pourcentage,,Pourcentage des personnes savant qu'avoir un seule partenaire fidèle et non affecté peut prévenir de la transmission du VIH,,"1, 2",,29/11/2020 20:22:07,Quinquennal,Institut National de la Statistique,"MICS Tunisie, 2020",3,,Institut National de la Statistique
