dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_DESCRIPTION,C_CODER,C_NOMENCLATURE
OBJ5156659,27868489,Total,,,,Var 226,
OBJ5156659,27868499,1 ménage,,,,Var 226,
OBJ5156659,27868509,2 ménages,,,,Var 226,
OBJ5156659,27868519,3 ménages,,,,Var 226,
OBJ5156659,27868529,4 ménages,,,,Var 226,
OBJ5156659,27868539,5 ménages,,,,Var 226,
OBJ5156659,27868549,6 ménages,,,,Var 226,
OBJ5156659,27868559,7 ménages,,,,Var 226,
OBJ5156659,27868569,8 ménages,,,,Var 226,
