dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ11288499,28757919,Produit National Brut et Revenu National,,Produit National Brut et Revenu National,,,,,,"1, 2"
OBJ11288499,28757929,PIB aux prix du marché,28757919,Produit National Brut et Revenu National\PIB aux prix du marché,,,,,,"1, 2"
OBJ11288499,28757939,Revenues des facteurs reçus de l'extérieur nets,28757919,Produit National Brut et Revenu National\Revenues des facteurs reçus de l'extérieur nets,,,,,,"1, 2"
OBJ11288499,28757949,Revenu National,28757919,Produit National Brut et Revenu National\Revenu National,,,,,,"1, 2"
OBJ11288499,28757959,Autres transferts courants extérieurs nets,28757919,Produit National Brut et Revenu National\Autres transferts courants extérieurs nets,,,,,,"1, 2"
OBJ11288499,28757969,RNDB (Revenu National Disponible Brut),28757919,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut),,,,,,"1, 2"
OBJ11288499,28757979,Sociétés non financières,28757969,RNDB (Revenu National Disponible Brut)\Sociétés non financières,,,,,,"1, 2"
OBJ11288499,28757989,Institutions financières,28757969,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Institutions financières,,,,,,"1, 2"
OBJ11288499,28757999,Administration Publique,28757969,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Administration Publique,,,,,,"1, 2"
OBJ11288499,28758009,Ménages,28757969,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Ménages,,,,,,"1, 2"
OBJ11288499,28758019,Amortissements,28757969,Produit National Brut et Revenu National\RNDB (Revenu National Disponible Brut)\Amortissements,,,,,,"1, 2"
OBJ11288499,28758029,Revenu National Net,28757919,Produit National Brut et Revenu National\Revenu National Net,,,,,,"1, 2"
OBJ11288499,28758039,Revenu National Disponible,28757919,Produit National Brut et Revenu National\Revenu National Disponible,,,,,,"1, 2"
OBJ11288499,28758049,Consommation et épargne,,Consommation et épargne,,,,,,"1, 2"
OBJ11288499,28758059,RNDB,28758049,Consommation et épargne\RNDB,,,,,,"1, 2"
OBJ11288499,28758069,Consommation Finale,28758049,Consommation et épargne\Consommation Finale,,,,,,"1, 2"
OBJ11288499,28758079,Epargne Nationale ( Brute ),28758049,Consommation et épargne\Epargne Nationale ( Brute ),,,,,,"1, 2"
OBJ11288499,28758089,Sociétés non financières,28758079,Consommation et épargne\Epargne Nationale ( Brute )\Sociétés non financières,,,,,,"1, 2"
OBJ11288499,28758099,Institutions financières,28758079,Consommation et épargne\Epargne Nationale ( Brute )\Institutions financières,,,,,,"1, 2"
OBJ11288499,28758109,Administration publique,28758079,Consommation et épargne\Epargne Nationale ( Brute )\Administration publique,,,,,,"1, 2"
OBJ11288499,28758119,Ménages,28758079,Consommation et épargne\Epargne Nationale ( Brute )\Ménages,,,,,,"1, 2"
OBJ11288499,28758129,Investissement et financement,,Investissement et financement,,,,,,"1, 2"
OBJ11288499,28758139,Épargne national (Brute),28758129,Investissement et financement\Épargne national (Brute),,,,,,"1, 2"
OBJ11288499,28758149,Transferts en capital extérieur nets,28758129,Investissement et financement\Transferts en capital extérieur nets,,,,,,"1, 2"
OBJ11288499,28758159,Formation Brute du Capital,28758129,Investissement et financement\Formation Brute du Capital,,,,,,"1, 2"
OBJ11288499,28758169,Formation Brute du Capital Fixe,28758159,Investissement et financement\Formation Brute du Capital\Formation Brute du Capital Fixe,,,,,,"1, 2"
OBJ11288499,28758179,Sociétés non financières,28758169,Investissement et financement\Formation Brute du Capital\Formation Brute du Capital Fixe\Sociétés non financières,,,,,,"1, 2"
OBJ11288499,28758189,Institutions financières,28758169,Investissement et financement\Formation Brute du Capital\Formation Brute du Capital Fixe\Institutions financières,,,,,,"1, 2"
OBJ11288499,28758199,Administration publique,28758169,Investissement et financement\Formation Brute du Capital\Formation Brute du Capital Fixe\Administration publique,,,,,,"1, 2"
OBJ11288499,28758209,Ménages,28758169,Investissement et financement\Formation Brute du Capital\Formation Brute du Capital Fixe\Ménages,,,,,,"1, 2"
OBJ11288499,28758219,Variations des stocks ( en moins ),28758129,Investissement et financement\Variations des stocks ( en moins ),,,,,,"1, 2"
OBJ11288499,28758229,Capacité(+) ou Besoin(-) de Financement,28758129,Investissement et financement\Capacité(+) ou Besoin(-) de Financement,,,,,,"1, 2"
OBJ11288499,28758239,Sociétés non financières,28758229,Sociétés non financières (CBF),,,,,,"1, 2"
OBJ11288499,28758249,Institutions financières,28758229,Institutions financières (CBF),,,,,,"1, 2"
OBJ11288499,28758259,Administration publique,28758229,Administration publique (CBF),,,,,,"1, 2"
OBJ11288499,28758269,Ménages,28758229,Ménages (CBF),,,,,,"1, 2"
OBJ11288499,28758279,Créances et dettes,,Créances et dettes,,,,,,"1, 2"
OBJ11288499,28758289,Variation des créances sur l'Extérieur,28758279,Créances et dettes\Variation des créances sur l'Extérieur,,,,,,"1, 2"
OBJ11288499,28758299,Variation des dettes vis-à-vis de l'Extérieur,28758279,Créances et dettes\Variation des dettes vis-à-vis de l'Extérieur,,,,,,"1, 2"
OBJ11288499,28758309,Solde des créances et dettes,28758279,Créances et dettes\Solde des créances et dettes,,,,,,"1, 2"
