dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_CODER,C_NOMENCLATURE,ISCALCULATED
OBJ5156309,27862409,Total,,,Var 504,,
OBJ5156309,27862419,Tunisie,,,Var 504,,
