dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE
OBJ6943079,27968519,Total,,,1
OBJ6943079,27968529,Masculin,27968519,,2
OBJ6943079,27968539,Féminin,27968519,,3
