dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ10330149,28735899,Total,,,T,yes
OBJ10330149,28735909,Homme,,,H,yes
OBJ10330149,28735919,Femme,,,F,yes
