dimension_id,KEY,NAME,parent_key,FULLNAME,UNIT,TIMESTAMP,SOURCES,METHODOLOGY,COMMENT,VISIBILITY,ISCALCULATED
RDS_DICT_INDICATORS_NSO,27523729,"Parcours, Alfa et Broussailles",27523689,"Superficie des terres labourables au centre,  allouées aux pâturages et la cultivation d'Alfa",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523739,"Bois,  forêt",27523689,"Superficie des terres labourables au centre,  allouées aux Bois et forêt",Hectar,13/05/2022 11:43:40,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523749,Céréaliculture,27523689,"Superficie des terres labourables au centre, consacrée à la cultivation des grains",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523759,Fourrages,27523689,"Superficie des terres labourables au centre, consacrée à la production des fourrages",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523769,Annuels,27523759,"Superficie des terres labourables au centre, consacrée à la production des fourrages annuels",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523779,Pluriannuels,27523759,"Superficie des terres labourables au centre, consacrée à la production des fourrages pluriannuels",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523789,Légumes,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des légumes",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523799,Légumineuses en sec,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des légumineuses",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523809,Féves et févroles,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des féves et févroles",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523819,Petit poids et poichiches,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des petit poids et poichiches",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523829,Autres légumineuses,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des autres légumineuses",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523839,Arboriculture fruitière,27523689,"Superficie des terres labourables au centre, consacrée à la cultuvation des arboricultures fruitières",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523849,Sud,27523519,Répartition de la superficie agricole dans le sud selon la catégorie d'occupation du sol,Hectar,26/11/2014 07:15:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523859,Superficie labourable,27523849,Superficie labourable dans le sud,Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523869,Jachère,27523849,Superficie jachère dans le sud,Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523879,Autres terres (cultivés),27523849,Autres superficies labourables (cultivés) dans le sud,Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523889,"Parcours, Alfa et Broussailles",27523849,"Superficie des terres labourables au sud,  allouées aux pâturages et la cultivation d'Alfa",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523899,"Bois,  forêt",27523849,"Superficie des terres labourables au sud,  allouées aux Bois et forêt",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523909,Céréaliculture,27523849,"Superficie des terres labourables au sud, consacrée à la cultivation des grains",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523919,Fourrages,27523849,"Superficie des terres labourables au sud, consacrée à la production des fourrages",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523929,Annuels,27523919,"Superficie des terres labourables au sud, consacrée à la production des fourrages annuels",Hectar,13/05/2022 11:43:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523939,Pluriannuels,27523919,"Superficie des terres labourables au sud, consacrée à la production des fourrages pluriannuels",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523949,Légumes,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des légumes",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523959,Légumineuses en sec,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des légumineuses",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523969,Féves et févroles,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des féves et févroles",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523979,Petit poids et poichiches,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des petit poids et poichiches",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523989,Autres légumineuses,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des autres légumineuses",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27523999,Arboriculture fruitière,27523849,"Superficie des terres labourables au sud, consacrée à la cultuvation des arboricultures fruitières",Hectar,13/05/2022 11:43:42,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524009,Total,27523519,Répartition de la superficie agricole totale selon la catégorie d'occupation du sol,Hectar,26/11/2014 07:15:41,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524019,Superficie labourable,27524009,Superficie labourable totale,Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524029,Jachère,27524009,Superficie jachère totale,Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524039,Autres terres (cultivés),27524009,Autres superficies labourables (cultivés),Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524049,"Parcours, Alfa et Broussailles",27524009,"Superficie des terres labourables totale,  allouées aux pâturages et la cultivation d'Alfa",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524059,"Bois,  forêt",27524009,"Superficie des terres labourables totale,  allouées aux Bois et forêt",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
RDS_DICT_INDICATORS_NSO,27524069,Céréaliculture,27524009,"Superficie des terres labourables totale, consacrée à la cultivation des grains",Hectar,13/05/2022 11:43:39,Ministère  de l'Agriculture,,,"1, 2",
