dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE
OBJ7279029,28165569,Navet,28165489,,1232
OBJ7279029,28165579,carotte,28165489,,1233
OBJ7279029,28165589,Radis,28165489,,1234
OBJ7279029,28165599,betterave,28165489,,1235
OBJ7279029,28165609,Poireaux,28165489,,1239
OBJ7279029,28165619,Autres légumes à bulbe et tubercules,28165489,,1241
OBJ7279029,28165629,Blette,28165489,,1242
OBJ7279029,28165639,Epinard,28165489,,1243
OBJ7279029,28165649,Choux,28165489,,1244
OBJ7279029,28165659,Feuille de fenouil,28165489,,1245
OBJ7279029,28165669,Salade verte (laitue…),28165489,,1246
OBJ7279029,28165679,Persil,28165489,,1247
OBJ7279029,28165689,Cèleri,28165489,,1248
OBJ7279029,28165699,Choux fleur,28165489,,1249
OBJ7279029,28165709,Autres légumes à feuilles vertes,28165489,,1251
OBJ7279029,28165719,Pomme de terre,28165489,,1261
OBJ7279029,28165729,Aubergine,28165489,,1262
OBJ7279029,28165739,Courge,28165489,,1263
OBJ7279029,28165749,Courgette,28165489,,1264
OBJ7279029,28165759,Artichaut,28165489,,1265
OBJ7279029,28165769,Concombre,28165489,,1266
OBJ7279029,28165779,Cardon,28165489,,1267
OBJ7279029,28165789,Fenouil,28165489,,1268
OBJ7279029,28165799,Gombo,28165489,,1269
OBJ7279029,28165809,"Autres légumes (champignons,,,)",28165489,,
OBJ7279029,28165819,LEGUMES EN CONSERVE,28165489,,1271
OBJ7279029,28165829,Harissa industrielle,28165819,,1272
OBJ7279029,28165839,Harissa « diari »,28165819,,1273
OBJ7279029,28165849,Piment sec moulu,28165819,,1274
OBJ7279029,28165859,Piment sec en gousse,28165819,,1281
OBJ7279029,28165869,"Tomate en conserve industrielle (en boite, en vrac)",28165819,,1282
OBJ7279029,28165879,Ketchup,28165819,,1291
OBJ7279029,28165889,Olive en conserve,28165819,,1292
OBJ7279029,28165899,Variantes,28165819,,1293
OBJ7279029,28165909,Câpre en conserve,28165819,,1294
OBJ7279029,28165919,Piment frais en conserve,28165819,,1295
OBJ7279029,28165929,champignons en conserve,28165819,,1299
OBJ7279029,28165939,Autres produits en conserve,28165819,,
OBJ7279029,28165949,FRUITS,28164559,,
OBJ7279029,28165959,AGRUMES,28165949,,1301
OBJ7279029,28165969,Clémentine (mandarine),28165959,,1303
OBJ7279029,28165979,Orange,28165959,,1304
OBJ7279029,28165989,Citron,28165959,,1309
OBJ7279029,28165999,Autres agrumes (pamplemousse…),28165959,,
OBJ7279029,28166009,FRUITS A PEPINS,28165949,,1310
OBJ7279029,28166019,figue,28166009,,1311
OBJ7279029,28166029,Grenade,28166009,,1312
OBJ7279029,28166039,Raisin de table,28166009,,1313
OBJ7279029,28166049,Pomme,28166009,,1314
OBJ7279029,28166059,Poire,28166009,,1315
OBJ7279029,28166069,Melon,28166009,,1316
OBJ7279029,28166079,Pastèque,28166009,,1317
OBJ7279029,28166089,Fraise,28166009,,1318
OBJ7279029,28166099,Figue de barbarie,28166009,,1319
OBJ7279029,28166109,Autres fruits à pépins,28166009,,
OBJ7279029,28166119,FRUITS A NOYAUX,28165949,,1321
OBJ7279029,28166129,Abricot,28166119,,1322
OBJ7279029,28166139,Nèfle,28166119,,1323
OBJ7279029,28166149,Pèche,28166119,,1324
OBJ7279029,28166159,Prune,28166119,,1325
OBJ7279029,28166169,Dattes vertes,28166119,,1326
OBJ7279029,28166179,Olives vertes (non en conserve),28166119,,1329
OBJ7279029,28166189,Autres fruits à noyaux (cerise),28166119,,
OBJ7279029,28166199,FRUITS SECHES,28165949,,1330
OBJ7279029,28166209,Dattes degla,28166199,,1331
OBJ7279029,28166219,Dattes aligh,28166199,,1332
OBJ7279029,28166229,Kenta,28166199,,1333
OBJ7279029,28166239,Dattes communes,28166199,,1334
OBJ7279029,28166249,Raisin sec,28166199,,1335
OBJ7279029,28166259,Amande sèche avec coque,28166199,,1336
OBJ7279029,28166269,Amande sèche sans coque,28166199,,1337
OBJ7279029,28166279,Kharroub,28166199,,1338
OBJ7279029,28166289,Figue sèche,28166199,,1339
OBJ7279029,28166299,Autres fruits secs,28166199,,
OBJ7279029,28166309,AUTRES FRUITS,28165949,,1341
OBJ7279029,28166319,Amande verte,28166309,,1342
OBJ7279029,28166329,Banane,28166309,,1343
OBJ7279029,28166339,Fruits de cueillette,28166309,,1349
OBJ7279029,28166349,Autres fruits non ventilés ailleurs,28166309,,
OBJ7279029,28166359,NOIX ET GRAINES COMESTIBLES,28165949,,1351
OBJ7279029,28166369,Arachide sèche décortiquée,28166359,,1352
OBJ7279029,28166379,Arachide sèche non décortiquée,28166359,,1353
OBJ7279029,28166389,"Pignon, pistache, noisette, noix",28166359,,1354
