dimension_id,KEY,NAME,parent_key,C_UNIT_,FULLNAME,DESCRIPTION,C_COMMENTAIRE,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ11288569,28758369,Différents taux,,,Différents taux,,,,,"1, 2",
OBJ11288569,28758379,Taux d'épargne,28758369,%,Différents taux\Taux d'épargne,,,,,"1, 2",
OBJ11288569,28758389,Taux d'épargne des ménages,28758369,%,Différents taux\Taux d'épargne des ménages,,,,,"1, 2",
OBJ11288569,28758399,Taux d'investissement,28758369,%,Différents taux\Taux d'investissement,,,,,"1, 2",
OBJ11288569,28758409,Taux d'investissement des S.N.F,28758369,%,Différents taux\Taux d'investissement des S.N.F,,,,,"1, 2",
OBJ11288569,28758419,Entreprises publiques,28758409,%,Différents taux\Taux d'investissement des S.N.F\Entreprises publiques,,,,,"1, 2",
OBJ11288569,28758429,Sociétés privés,28758409,%,Différents taux\Taux d'investissement des S.N.F\Sociétés privés,,,,,"1, 2",
OBJ11288569,28758439,Besoin de Financement/RNDB,28758369,%,Différents taux\Besoin de Financement/RNDB,,,,,"1, 2",
OBJ11288569,28758449,Besoin de Financement/FBCF,28758369,%,Différents taux\Besoin de Financement/FBCF,,,,,"1, 2",
OBJ11288569,28758459,Besoin de Financement / Ressources Courantes et en Capital,28758369,%,Différents taux\Besoin de Financement / Ressources Courantes et en Capital,,,,,"1, 2",
OBJ11288569,28758469,Taux d'endettement,28758369,%,Différents taux\Taux d'endettement,,,,,"1, 2",
OBJ11288569,28758479,Service de la dette / Ressources Courantes et en Capital,28758369,%,Différents taux\Service de la dette / Ressources Courantes et en Capital,,,,,"1, 2",
OBJ11288569,28758489,Service de la Dette / Export des Biens et Services,28758369,%,Différents taux\Service de la Dette / Export des Biens et Services,,,,,"1, 2",
OBJ11288569,28758499,Taux d'épargne financier,28758369,,Différents taux\Taux d'épargne financier,,,,,"1, 2",
OBJ11288569,28758509,Ratios par Habitant,,,Ratios par Habitant,,,,,"1, 2",
OBJ11288569,28758529,Revenu National,28758509,دينار,Ratios par Habitant\Revenu National,,,,,"1, 2",
OBJ11288569,28759029,Revenu National Net,28758509,Dinars,Ratios par Habitant\Revenu National Net,,,,,"1, 2",
OBJ11288569,28758539,Revenu National Disponible Brut,28758509,دينار,Ratios par Habitant\Revenu National Disponible Brut,,,,,"1, 2",
OBJ11288569,28758549,Revenu National Disponible,28758509,دينار,Ratios par Habitant\Revenu National Disponible,,,,,"1, 2",
OBJ11288569,28758559,Consommation finale,28758509,دينار,Consommation finale (RH),,,,,"1, 2",
OBJ11288569,28758569,Consommation privée,28758509,دينار,Consommation privée (RH),,,,,"1, 2",
OBJ11288569,28758579,Agrégats,,,Agrégats,,,,,"1, 2",
OBJ11288569,28758589,Dette extérieure,28758579,مليون دينار,Agrégats\Dette extérieure,,,,,"1, 2",
OBJ11288569,28758599,Service de la dette,28758579,مليون دينار,Agrégats\Service de la dette,,,,,"1, 2",
OBJ11288569,28758609,Intérêt de la dette,28758599,مليون دينار,Agrégats\Service de la dette\Intérêt de la dette,,,,,"1, 2",
OBJ11288569,28758619,Principal de la dette,28758599,مليون دينار,Agrégats\Service de la dette\Principal de la dette,,,,,"1, 2",
OBJ11288569,28758629,Ressources Externes Courantes et en Capital,28758579,مليون دينار,Agrégats\Ressources Externes Courantes et en Capital,,,,,"1, 2",
OBJ11288569,28758639,Exportations de biens et services,28758579,مليون دينار,Agrégats\Exportations de biens et services,,,,,"1, 2",
OBJ11288569,28758649,Formation Brute de Capital Fixe,28758579,مليون دينار,Agrégats\Formation Brute de Capital Fixe,,,,,"1, 2",
OBJ11288569,28758659,Consommation finale,28758579,مليون دينار,Agrégats\Consommation finale,,,,,"1, 2",
OBJ11288569,28758669,Consommation privée,28758579,مليون دينار,Agrégats\Consommation privée,,,,,"1, 2",
OBJ11288569,28758679,Population actuelle,28758579,ألف,Agrégats\Population actuelle,,,,,"1, 2",
