dimension_id,KEY,NAME,parent_key,C_UNIT_,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,VISIBILITY,ISCALCULATED
OBJ5260119,27914739,Opérations de biens et services,,,Opérations de biens et services,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914749,Production de biens et services,27914739,,Opérations de biens et services\Production de biens et services,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914759,Production de biens & services marchands,27914749,,Opérations de biens et services\Production de biens et services\Production de biens & services marchands,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914769,Production SIFIM,27914749,,Opérations de biens et services\Production de biens et services\Production SIFIM,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914779,Production de services d'assurances,27914749,,Opérations de biens et services\Production de biens et services\Production de services d'assurances,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914789,Production de services non marchands,27914749,,Opérations de biens et services\Production de biens et services\Production de services non marchands,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914799,Consommation intermédiaire,27914739,,Opérations de biens et services\Consommation intermédiaire,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914809,Consommation finale,27914739,,Opérations de biens et services\Consommation finale,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914819,Consommation publique,27914809,,Opérations de biens et services\Consommation finale\Consommation publique,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914829,Consommation privée,27914809,,Opérations de biens et services\Consommation finale\Consommation privée,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914839,Formation brute de capital fixe,27914739,,Opérations de biens et services\Formation brute de capital fixe,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914849,Variation des stocks,27914739,,Opérations de biens et services\Variation des stocks,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914859,Importation des biens et des services,27914739,,Opérations de biens et services\Importation des biens et des services,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914869,Exportation des biens et des services,27914739,,Opérations de biens et services\Exportation des biens et des services,,,25/04/2015 02:37:52,,"1, 2",
OBJ5260119,27914879,Opérations de répartition,,,Opérations de répartition,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914889,Rémunération des salariés,27914879,,Opérations de répartition\Rémunération des salariés,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914899,Salaires et traitements bruts,27914889,,Opérations de répartition\Rémunération des salariés\Salaires et traitements bruts,,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914919,Les résidents,27914899,,Les résidents (Versés),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914929,L’extérieur,27914899,,L’extérieur (Versés),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914949,Les résidents,27914899,,Les résidents (Reçus),,,25/04/2015 03:49:33,,"1, 2",
OBJ5260119,27914959,L’extérieur,27914899,,L’extérieur (Reçus),,,25/04/2015 03:49:33,,"1, 2",
