dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_CODER,C_NOMENCLATURE,ISCALCULATED
OBJ4847769,27741699,Total,,,var 310,,
OBJ4847769,27741669,Propriétaire,,,var 310,,
OBJ4847769,27741679,Locataire,,,var 310,,
OBJ4847769,27741689,Habitat gratuit,,,var 310,,
OBJ4847769,27844119,Non déclaré,,,,,
