dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_DESCRIPTION,C_CODE,C_NOMENCLATURE
OBJ4847929,27740409,Total,,,,,
OBJ4847929,27740369,Communal,,,,,
OBJ4847929,27740389,Non-Communal,,,,,
