dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE
OBJ7280819,28178499,Cèleri,28178299,,12491
OBJ7280819,28178509,Choux fleur,28178299,,12511
OBJ7280819,28178519,Autres légumes à feuilles vertes,28178299,,12611
OBJ7280819,28178529,Pomme de terre,28178299,,12621
OBJ7280819,28178539,Aubergine,28178299,,12631
OBJ7280819,28178549,Courge,28178299,,12641
OBJ7280819,28178559,Courgette,28178299,,12651
OBJ7280819,28178569,Artichaut avec fanes,28178299,,12661
OBJ7280819,28178579,Concombre,28178299,,12671
OBJ7280819,28178589,Cardon,28178299,,12681
OBJ7280819,28178599,Fenouil avec fanes,28178299,,12691
OBJ7280819,28178609,Gombo,28178299,,12693
OBJ7280819,28178619,Autres légumes,28178299,,
OBJ7280819,28178629,"Garniture de ""brik""",28178299,,12811
OBJ7280819,28178639,légumes en conserve (en équivalent légumes frais),28178289,,12711
OBJ7280819,28178649,Tomate en conserve industrielle,28178639,,12731
OBJ7280819,28178659,Harissa industrielle,28178639,,12741
OBJ7280819,28178669,Piment sec moulu,28178639,,12751
OBJ7280819,28178679,Piment sec en gousse,28178639,,12911
OBJ7280819,28178689,Salade mechwia en boite (en conserve),28178639,,12921
OBJ7280819,28178699,Olive en conserve,28178639,,12931
OBJ7280819,28178709,Variantes,28178639,,12941
OBJ7280819,28178719,Câpre en conserve,28178639,,12991
OBJ7280819,28178729,Piment frais en conserve,28178639,,12992
OBJ7280819,28178739,Autres légumes en conserve,28178639,,
OBJ7280819,28178749,Autres produits à base de légumes,28178639,,13101
OBJ7280819,28178759,total fruits,,,13111
OBJ7280819,28178769,Figue,28178759,,13121
OBJ7280819,28178779,Grenade,28178759,,13131
OBJ7280819,28178789,Raisin de table,28178759,,13141
OBJ7280819,28178799,Pomme,28178759,,13151
OBJ7280819,28178809,Poire,28178759,,13161
OBJ7280819,28178819,Melon,28178759,,13171
OBJ7280819,28178829,Pastèque,28178759,,13181
OBJ7280819,28178839,Fraise,28178759,,13191
OBJ7280819,28178849,Figue de barbarie,28178759,,13211
OBJ7280819,28178859,Autres fruits à pépins,28178759,,13221
OBJ7280819,28178869,Abricot,28178759,,13231
