dimension_id,KEY,NAME,parent_key,ISO,ISCALCULATED
RDS_DICT_REGIONS_NSO,27680039,Bou-Choucha,1160,,
RDS_DICT_REGIONS_NSO,27680049,Bonne Residence,1160,,
RDS_DICT_REGIONS_NSO,27680059,Khaznadar,1160,,
RDS_DICT_REGIONS_NSO,27680069,El Fath,1160,,
RDS_DICT_REGIONS_NSO,27680079,Ksar-Saïd,1160,,
RDS_DICT_REGIONS_NSO,27680089,Ksar-Saïd II,1160,,
RDS_DICT_REGIONS_NSO,27680099,El Bassatine,1160,,
RDS_DICT_REGIONS_NSO,27680109,Es-Säada,1160,,
RDS_DICT_REGIONS_NSO,27680119,Ksar-El Bortal,1160,,
RDS_DICT_REGIONS_NSO,27680129,Ibn Sina,1160,,
RDS_DICT_REGIONS_NSO,1161,Délégation de Sijoumi,11,,
RDS_DICT_REGIONS_NSO,27680139,Cité Helel,1161,,
RDS_DICT_REGIONS_NSO,27680149,Ali Belhouane,1161,,
RDS_DICT_REGIONS_NSO,27680159,En-Najah,1161,,
RDS_DICT_REGIONS_NSO,27680169,CIté des Martyrs,1161,,
RDS_DICT_REGIONS_NSO,27680179,Bir anniba,1161,,
RDS_DICT_REGIONS_NSO,27680189,Mellassine,1161,,
RDS_DICT_REGIONS_NSO,1162,Délégation de Ezzouhour,11,,
RDS_DICT_REGIONS_NSO,27680199,Ezzouhour,1162,,
RDS_DICT_REGIONS_NSO,27680209,Ezzouhour IV,1162,,
RDS_DICT_REGIONS_NSO,27680219,Es-Säada,1162,,
RDS_DICT_REGIONS_NSO,27680229,Es-Soumrane,1162,,
RDS_DICT_REGIONS_NSO,27680239,Cité Tayarane,1162,,
RDS_DICT_REGIONS_NSO,27680249,Bach-Hamba,1162,,
RDS_DICT_REGIONS_NSO,1163,Délégation de El Hrairia,11,,
RDS_DICT_REGIONS_NSO,27680259,El-Hraïria,1163,,
RDS_DICT_REGIONS_NSO,27680269,Ezzouhour V,1163,,
RDS_DICT_REGIONS_NSO,27680279,El Akba,1163,,
RDS_DICT_REGIONS_NSO,27680289,El Akba Supérieur,1163,,
RDS_DICT_REGIONS_NSO,27680299,Ghédir El Golla,1163,,
RDS_DICT_REGIONS_NSO,27680309,El Antit,1163,,
RDS_DICT_REGIONS_NSO,27680319,El Foula,1163,,
RDS_DICT_REGIONS_NSO,27680329,Tarak Ibn Ziad,1163,,
RDS_DICT_REGIONS_NSO,27680339,Ezzahrouni,1163,,
RDS_DICT_REGIONS_NSO,1164,Délégation de Sidi Hassine,11,,
RDS_DICT_REGIONS_NSO,27680349,Borj-Chakir,1164,,
RDS_DICT_REGIONS_NSO,27680359,Sidi Hassine,1164,,
RDS_DICT_REGIONS_NSO,27680369,El Jaïara,1164,,
RDS_DICT_REGIONS_NSO,27680379,Attar,1164,,
RDS_DICT_REGIONS_NSO,27680389,20-mars,1164,,
RDS_DICT_REGIONS_NSO,27680399,Byrine,1164,,
RDS_DICT_REGIONS_NSO,27680409,Meghiret Inzel,1164,,
RDS_DICT_REGIONS_NSO,27680419,25 'juillet,1164,,
RDS_DICT_REGIONS_NSO,27680429,14-janvier,1164,,
RDS_DICT_REGIONS_NSO,1165,Délégation de El Ouardia,11,,
RDS_DICT_REGIONS_NSO,27680439,El Ouardia,1165,,
RDS_DICT_REGIONS_NSO,27680449,Bou-Gatfa,1165,,
RDS_DICT_REGIONS_NSO,27680459,Tahar Sfar,1165,,
RDS_DICT_REGIONS_NSO,27680469,Cité El Izdihar,1165,,
RDS_DICT_REGIONS_NSO,27680479,Cité Mohamed Ali,1165,,
RDS_DICT_REGIONS_NSO,27680489,Sidi Belhassen,1165,,
RDS_DICT_REGIONS_NSO,1166,Délégation de El Kabaria,11,,
