dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ5259179,27917269,Agriculture et pêche,,Formation Brute de Capital Fixe du domaine de Agriculture et pêche,,
OBJ5259179,27917279,Industries manufacturières,,Formation Brute de Capital Fixe du domaine de Industries manufacturières,,
OBJ5259179,27917289,Industries Agro-alimentaires,27917279,Formation Brute de Capital Fixe du domaine de Industries Agro-alimentaires,,
OBJ5259179,27917299,Industrie du Tabac,27917279,Formation Brute de Capital Fixe du domaine de Industrie du Tabac,,
OBJ5259179,27917309,"Textile, Habillement et cuir",27917279,"Formation Brute de Capital Fixe du domaine de Textile, Habillement et cuir",,
OBJ5259179,27917319,Industries diverses,27917279,Formation Brute de Capital Fixe du domaine de Industries diverses,,
OBJ5259179,27917329,Raffinage de pétrole,27917279,Formation Brute de Capital Fixe du domaine de Raffinage de pétrole,,
OBJ5259179,27917339,Industries chimiques,27917279,Formation Brute de Capital Fixe du domaine de Industries chimiques,,
OBJ5259179,27917349,"Materiaux de construction, céramique et verre",27917279,"Formation Brute de Capital Fixe du domaine de Materiaux de construction, céramique et verre",,
OBJ5259179,27917359,Industries mécaniques et éléctriques,27917279,Formation Brute de Capital Fixe du domaine de Industries mécaniques et éléctriques,,
OBJ5259179,27917369,Industries non manufacturières,,Formation Brute de Capital Fixe du domaine de Industries non manufacturières,,
OBJ5259179,27917379,Extraction de pétrole  et gaz naturel,27917369,Formation Brute de Capital Fixe du domaine de Extraction de pétrole  et gaz naturel,,
OBJ5259179,27917389,Mines,27917369,Formation Brute de Capital Fixe du domaine de Mines,,
OBJ5259179,27917399,Electricité et Gaz,27917369,Formation Brute de Capital Fixe du domaine de Electricité et Gaz,,
OBJ5259179,27917409,Eau,27917369,Formation Brute de Capital Fixe du domaine de Eau,,
OBJ5259179,27917419,Bâtiment et génie civil,27917369,Formation Brute de Capital Fixe du domaine de Bâtiment et génie civil,,
OBJ5259179,27917429,Activités de services marchands,,Formation Brute de Capital Fixe du domaine de Activités de services marchands,,
OBJ5259179,27917439,Entretien et réparation,27917429,Formation Brute de Capital Fixe du domaine de Entretien et réparation,,
OBJ5259179,27917449,Commerce,27917429,Formation Brute de Capital Fixe du domaine de Commerce,,
OBJ5259179,27917459,Services d'hôtellerie et de restauration,27917429,Formation Brute de Capital Fixe du domaine de Services d'hôtellerie et de restauration,,
OBJ5259179,27917469,Transports,27917429,Formation Brute de Capital Fixe du domaine de Transports,,
OBJ5259179,27917479,Poste et télécommunication,27917429,Formation Brute de Capital Fixe du domaine de Poste et télécommunication,,
OBJ5259179,27917489,Services financiers,27917429,Formation Brute de Capital Fixe du domaine de Services financiers,,
OBJ5259179,27917499,Autres Services marchands,27917429,Formation Brute de Capital Fixe du domaine de Autres Services marchands,,
OBJ5259179,27917509,dont logement,27917499,Formation Brute de Capital Fixe du domaine de dont logement,,
OBJ5259179,27917519,Equipements collectifs des administrations publiques,,Formation Brute de Capital Fixe du domaine de Equipements collectifs des administrations publiques,,
OBJ5259179,27917529,Education et formation,27917519,Formation Brute de Capital Fixe du domaine de Education et formation,,
OBJ5259179,27917539,Santé,27917519,Formation Brute de Capital Fixe du domaine de Santé,,
OBJ5259179,27917549,Assainissement,27917519,Formation Brute de Capital Fixe du domaine de Assainissement,,
OBJ5259179,27917559,Urbanisme,27917519,Formation Brute de Capital Fixe du domaine de Urbanisme,,
OBJ5259179,27917569,Social et culturel,27917519,Formation Brute de Capital Fixe du domaine de Social et culturel,,
OBJ5259179,27917579,Services administratifs divers,27917519,Formation Brute de Capital Fixe du domaine de Services administratifs divers,,
OBJ5259179,27917589,Total,,Formation Brute de Capital Fixe du domaine de Total,,
