dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_DESCRIPTION,C_CODER,C_NOMENCLATURE
OBJ5052889,27798399,Total,,,,Var 210,
OBJ5052889,27798409,Raccordé au Réseau de SONEDE,,,,Var 210,
OBJ5052889,27798419,Non raccordé au réseau de SONEDE,,,,Var 210,
OBJ5052889,27798429,Raccordement au réseau de SONEDE non déclaré,,,,Var 210,
