dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_DESCRIPTION,C_CODER,C_NOMENCLATURE
OBJ5156649,27868429,Total,,,,Var 207,
OBJ5156649,27868439,Moins que 50m²,,,,Var 207,
OBJ5156649,27868449,50 à 99 m²,,,,Var 207,
OBJ5156649,27868459,100 à 149 m²,,,,Var 207,
OBJ5156649,27868469,150 à 199 m²,,,,Var 207,
OBJ5156649,27868479,200 m² et plus,,,,Var 207,
