dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ10027449,28528369,Total,,,T,False
OBJ10027449,28528409,15 ans et plus,,,15AM,False
OBJ10027449,28528419,15-17 ans,,,15T17Y,False
OBJ10027449,28528429,15-19 ans,,,15T19Y,False
OBJ10027449,28629519,15-24 ans,,,15T24Y,False
OBJ10027449,28729689,15-49 ans,,,15T49Y,False
OBJ10027449,28528439,Moins de 18 ans,,,LT18Y,False
OBJ10027449,28528449,18-24 ans,,,18T24Y,False
OBJ10027449,28729579,18-19,,,18T19Y,False
OBJ10027449,28528459,20-24 ans,,,20T24Y,False
OBJ10027449,28529509,20-29 ans,,,20T29Y,False
OBJ10027449,28528479,25-34 ans,,,25T34Y,False
OBJ10027449,28528489,25-29 ans,,,25T29Y,False
OBJ10027449,28528499,30-39 ans,,,30T39Y,False
OBJ10027449,28528509,30-34 ans,,,30T34Y,False
OBJ10027449,28528519,35-44 ans,,,35T44Y,False
OBJ10027449,28528529,35-39 ans,,,35T39Y,False
OBJ10027449,28528539,40-49 ans,,,40T49Y,False
OBJ10027449,28528549,40-44 ans,,,40T44Y,False
OBJ10027449,28528559,45-49 ans,,,45T49Y,False
OBJ10027449,28528569,45-59 ans,,,45T59Y,False
OBJ10027449,28528579,50-59 ans,,,50-59Y,False
OBJ10027449,28528589,50-54 ans,,,50T54Y,False
OBJ10027449,28528599,55-59 ans,,,55T59Y,False
OBJ10027449,28528609,60 ans et plus,,,60AM,False
OBJ10027449,28528619,60-74 ans,,,60T74Y,False
OBJ10027449,28528629,60-64 ans,,,60T64Y,False
OBJ10027449,28528639,65-69 ans,,,65T69Y,False
OBJ10027449,28528649,70 ans et plus,,,70AM,False
OBJ10027449,28528669,75 ans et plus,,,75AM,False
OBJ10027449,28528699,Non déclaré,,,_X,False
