dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_CODER,C_NOMENCLATURE,ISCALCULATED
OBJ4847659,27740399,Total,,,,,
OBJ4847659,27740359,Communal,,,,,
OBJ4847659,27740379,Non-Communal,,,,,
