dimension_id,KEY,NAME,parent_key,C_DESCRIPTION,C_NOMENCLATURE,ISCALCULATED
OBJ5259089,27916929,Agriculture et pêche,,Formation Brute de Capital Fixe du secteur Agriculture et pêche,,
OBJ5259089,27916939,Industries manufacturières,,Formation Brute de Capital Fixe du secteur Industries manufacturières,,
OBJ5259089,27916949,Industries Agro-alimentaires,27916939,Formation Brute de Capital Fixe du secteur Industries Agro-alimentaires,,
OBJ5259089,27916959,Industrie du Tabac,27916939,Formation Brute de Capital Fixe du secteur Industrie du Tabac,,
OBJ5259089,27916969,"Textile, Habillement et cuir",27916939,"Formation Brute de Capital Fixe du secteur Textile, Habillement et cuir",,
OBJ5259089,27916979,Industries diverses,27916939,Formation Brute de Capital Fixe du secteur Industries diverses,,
OBJ5259089,27916989,Raffinage de pétrole,27916939,Formation Brute de Capital Fixe du secteur Raffinage de pétrole,,
OBJ5259089,27916999,Industries chimiques,27916939,Formation Brute de Capital Fixe du secteur Industries chimiques,,
OBJ5259089,27917009,"Materiaux de construction, céramique et verre",27916939,"Formation Brute de Capital Fixe du secteur Materiaux de construction, céramique et verre",,
OBJ5259089,27917019,Industries mécaniques et éléctriques,27916939,Formation Brute de Capital Fixe du secteur Industries mécaniques et éléctriques,,
OBJ5259089,27917029,Industries non manufacturières,,Formation Brute de Capital Fixe du secteur Industries non manufacturières,,
OBJ5259089,27917039,Extraction de pétrole  et gaz naturel,27917029,Formation Brute de Capital Fixe du secteur Extraction de pétrole  et gaz naturel,,
OBJ5259089,27917049,Mines,27917029,Formation Brute de Capital Fixe du secteur Mines,,
OBJ5259089,27917059,Electricité et Gaz,27917029,Formation Brute de Capital Fixe du secteur Electricité et Gaz,,
OBJ5259089,27917069,Eau,27917029,Formation Brute de Capital Fixe du secteur Eau,,
OBJ5259089,27917079,Bâtiment et génie civil,27917029,Formation Brute de Capital Fixe du secteur Bâtiment et génie civil,,
OBJ5259089,27917089,Activités de services marchands,,Formation Brute de Capital Fixe du secteur Activités de services marchands,,
OBJ5259089,27917099,Entretien et réparation,27917089,Formation Brute de Capital Fixe du secteur Entretien et réparation,,
OBJ5259089,27917109,Commerce,27917089,Formation Brute de Capital Fixe du secteur Commerce,,
OBJ5259089,27917119,Services d'hôtellerie et de restauration,27917089,Formation Brute de Capital Fixe du secteur Services d'hôtellerie et de restauration,,
OBJ5259089,27917129,Transports,27917089,Formation Brute de Capital Fixe du secteur Transports,,
OBJ5259089,27917139,Poste et télécommunication,27917089,Formation Brute de Capital Fixe du secteur Poste et télécommunication,,
OBJ5259089,27917149,Services financiers,27917089,Formation Brute de Capital Fixe du secteur Services financiers,,
OBJ5259089,27917159,Autres Services marchands,27917089,Formation Brute de Capital Fixe du secteur Autres Services marchands,,
OBJ5259089,27917169,dont logement,27917159,Formation Brute de Capital Fixe du secteur dont logement,,
OBJ5259089,27917179,Activités marchands,,Formation Brute de Capital Fixe du secteur Activités marchands,,
OBJ5259089,27917189,Activités non marchands,,Formation Brute de Capital Fixe du secteur Activités non marchands,,
OBJ5259089,27917199,Total,,Formation Brute de Capital Fixe du secteur Total,,
