dimension_id,KEY,NAME,parent_key,FULLNAME,C_COMMENTAIRE,DESCRIPTION,C_DATE_DE_MISE___JOUR,C_M_THODOLOGIE,ISCALCULATED,VISIBILITY
OBJ5258999,27916799,Agriculture et pêche,,Formation Brut du Caoital fixe des produits Agriculture et pêche,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916809,Industries diverses,,Formation Brut du Caoital fixe des produits Industries diverses,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916819,Industries mécaniques et éléctriques,,Formation Brut du Caoital fixe des produits Industries mécaniques et éléctriques,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916829,Extraction de pétrole  et gaz naturel,,Formation Brut du Caoital fixe des produits Extraction de pétrole  et gaz naturel,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916839,Bâtiment et génie civil,,Formation Brut du Caoital fixe des produits Bâtiment et génie civil,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916849,Autres Services marchands,,Formation Brut du Caoital fixe des produits Autres Services marchands,,,25/04/2015 08:54:49,,,"1, 2"
OBJ5258999,27916859,Total,,Valeur du Total de Foramation Brut du Capital Fixe,,,25/04/2015 08:54:49,,,"1, 2"
