dimension_id,KEY,NAME,parent_key,ISCALCULATED,C_CODE,C_VISIBILIT_
OBJ9105639,28315389,Total,,,T,False
OBJ9105639,28315399,0-4 ans,,,0T4Y,False
OBJ9105639,28315419,5-9 ans,,,5T9Y,False
OBJ9105639,28315429,10-14 ans,,,10T14Y,False
OBJ9105639,28315449,15-19 ans,,,15T19Y,False
OBJ9105639,28315489,20-24 ans,,,20T24Y,False
OBJ9105639,28315519,25-29 ans,,,25T29Y,False
OBJ9105639,28315539,30-34 ans,,,30T34Y,False
OBJ9105639,28315569,35-39 ans,,,35T39Y,False
OBJ9105639,28315589,40-44 ans,,,40T44Y,False
OBJ9105639,28315619,45-49 ans,,,45T49Y,False
OBJ9105639,28315649,50-54 ans,,,50T54Y,False
OBJ9105639,28315689,55-59 ans,,,55T59Y,False
OBJ9105639,28317919,50-59 ans,,,50T59Y,False
OBJ9105639,28315719,60-64 ans,,,60T64Y,False
OBJ9105639,28315749,65-69 ans,,,65T69Y,False
OBJ9105639,28315779,70-74 ans,,,70T74Y,False
OBJ9105639,28315809,75-79 ans,,,75T79Y,False
OBJ9105639,28317929,50 ans et plus,,,50YM,False
OBJ9105639,28317809,60 ans et plus,,,60Y_M,False
OBJ9105639,28315839,80 ans et plus,,,80AM,False
OBJ9105639,28317849,0-14 ans,,,0T14Y,False
OBJ9105639,28317859,15-59 ans,,,15T59Y,False
OBJ9105639,28317939,Non déclaré,,,_X,False
