source_id,source_name,dimension_id,dimension_name,element_key,element_name
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524069,Céréaliculture
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524079,Fourrages
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524089,Annuels
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524099,Pluriannuels
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524109,Légumes
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524119,Légumineuses en sec
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524129,Féves et févroles
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524139,Petit poids et poichiches
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524149,Autres légumineuses
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524159,Arboriculture fruitière
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27523449,Production végétale
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524169,Evolution des superficies ensemencées en céréales
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524179,Blé dur
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524189,Blé tendre
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524199,Orge
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524209,Triticale
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524219,Superficie récoltée
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524229,Total céréale
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524239,Céréales (sans riz)
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524249,Blé tendre et épeautres
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524259,Blé dur
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524269,Seigle et méteil
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524279,Orge
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524309,"Légumineuses sèches, en grains"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524319,Total plantes sarclées
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524329,Pommes de terre
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524339,Betteraves sucrières
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524359,Toutes plantes oléagineuses
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524369,Tournesol
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524379,"Total légumes frais, incluant les jardins familiaux"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524389,Légumes frais excluant les jardins familiaux
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524399,"Total fruits y compris jardins familiaux (excluant raisins, olives and dattes)"
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524409,Pommes
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524419,Poires
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524429,Pêches
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524439,Abricots
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524449,Cerises
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524459,Prunes
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524469,Amandes
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524479,Figues
C_NSO,Socio-économique,RDS_DICT_INDICATORS_NSO,Indicateurs,27524499,Total agrumes
