dimension_id,dimension_name,element_key,element_name
OBJ5049559,Chauffage central,27747969,Total
OBJ5049559,Chauffage central,27747939,Possède un chauffage central
OBJ5049559,Chauffage central,27747949,Ne possède pas un chauffage central
OBJ5049559,Chauffage central,27747959,Possession des équipement en électroménager non déclaré : Chauffage central
