dimension_id,dimension_name,element_key,element_name
OBJ5156649,Superificie			,27868429,Total
OBJ5156649,Superificie			,27868439,Moins que 50m²
OBJ5156649,Superificie			,27868449,50 à 99 m²
OBJ5156649,Superificie			,27868459,100 à 149 m²
OBJ5156649,Superificie			,27868469,150 à 199 m²
OBJ5156649,Superificie			,27868479,200 m² et plus
