dimension_id,dimension_name,element_key,element_name
OBJ5156659,Nombre de ménage occupant le logement			,27868489,Total
OBJ5156659,Nombre de ménage occupant le logement			,27868499,1 ménage
OBJ5156659,Nombre de ménage occupant le logement			,27868509,2 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868519,3 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868529,4 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868539,5 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868549,6 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868559,7 ménages
OBJ5156659,Nombre de ménage occupant le logement			,27868569,8 ménages
