dimension_id,dimension_name,element_key,element_name
OBJ5260119,Indicateur,27914739,Opérations de biens et services
OBJ5260119,Indicateur,27914749,Production de biens et services
OBJ5260119,Indicateur,27914759,Production de biens & services marchands
OBJ5260119,Indicateur,27914769,Production SIFIM
OBJ5260119,Indicateur,27914779,Production de services d'assurances
OBJ5260119,Indicateur,27914789,Production de services non marchands
OBJ5260119,Indicateur,27914799,Consommation intermédiaire
OBJ5260119,Indicateur,27914809,Consommation finale
OBJ5260119,Indicateur,27914819,Consommation publique
OBJ5260119,Indicateur,27914829,Consommation privée
OBJ5260119,Indicateur,27914839,Formation brute de capital fixe
OBJ5260119,Indicateur,27914849,Variation des stocks
OBJ5260119,Indicateur,27914859,Importation des biens et des services
OBJ5260119,Indicateur,27914869,Exportation des biens et des services
OBJ5260119,Indicateur,27914879,Opérations de répartition
OBJ5260119,Indicateur,27914889,Rémunération des salariés
OBJ5260119,Indicateur,27914899,Salaires et traitements bruts
OBJ5260119,Indicateur,27914919,Les résidents
OBJ5260119,Indicateur,27914929,L’extérieur
OBJ5260119,Indicateur,27914949,Les résidents
OBJ5260119,Indicateur,27914959,L’extérieur
OBJ5260119,Indicateur,27914969,Charges sociales payées par les employeurs
OBJ5260119,Indicateur,27914979,Impôts indirects
OBJ5260119,Indicateur,27914989,Impôts indirects liés à la production
OBJ5260119,Indicateur,27914999,Impôts indirects sur les produits
OBJ5260119,Indicateur,27915009,Dont impôts sur les importations
OBJ5260119,Indicateur,27915019,Subventions d'exploitation
OBJ5260119,Indicateur,27915029,Intérêts dividendes et autres revenus distribués
OBJ5260119,Indicateur,27915039,Intérêts
OBJ5260119,Indicateur,27915049,Intérêts versés par les résidents
OBJ5260119,Indicateur,27915059,Dont versés à l'extérieur
OBJ5260119,Indicateur,27915069,Intérêts reçus par les résidents
OBJ5260119,Indicateur,27915079,Dont reçus de l'extérieur
OBJ5260119,Indicateur,27915089,Dividendes et autres revenus distribués
OBJ5260119,Indicateur,27915099,Dividendes et autres revenus versés par les résidents
OBJ5260119,Indicateur,27915109,Dont versés à l'extérieur
OBJ5260119,Indicateur,27915119,Dividendes et autres revenus reçus par les résidents
OBJ5260119,Indicateur,27915129,Dont reçus de l'extérieur
OBJ5260119,Indicateur,27915139,Opérations d'assurances dommage (indemnité=primes nettes)
OBJ5260119,Indicateur,27915149,Impôts directs
OBJ5260119,Indicateur,27915159,Impôts sur le revenu
OBJ5260119,Indicateur,27915169,Autres impôts directs
OBJ5260119,Indicateur,27915179,Cotisations sociales
OBJ5260119,Indicateur,27915189,Cotisations sociales effectives
OBJ5260119,Indicateur,27915199,Cotisations sociales imputées
OBJ5260119,Indicateur,27915209,Prestations sociales
OBJ5260119,Indicateur,27915219,Prestations de sécurité sociale en espèces
OBJ5260119,Indicateur,27915229,Prestations d'assurance sociale
OBJ5260119,Indicateur,27915239,Prestations assurance sociale directe d'employeur
OBJ5260119,Indicateur,27915259,Autres transferts courants
OBJ5260119,Indicateur,27915249,Autres prestations sociales en espèces
OBJ5260119,Indicateur,27915269,Transferts courants entre administrations publiques
OBJ5260119,Indicateur,27915279,Coopération internationale courante
OBJ5260119,Indicateur,27915289,Autres transferts courants divers
OBJ5260119,Indicateur,27915299,Transferts en capital
OBJ5260119,Indicateur,27915309,Impôts sur le capital
OBJ5260119,Indicateur,27915319,Subventions d'investissement
OBJ5260119,Indicateur,27915329,Autres transferts en capital
OBJ5260119,Indicateur,27915339,Soldes comptables
OBJ5260119,Indicateur,27915349,Valeur ajoutée brute
OBJ5260119,Indicateur,27915359,Revenu d'exploitation
OBJ5260119,Indicateur,27915369,Revenu disponible brut
OBJ5260119,Indicateur,27915379,Épargne brute
OBJ5260119,Indicateur,27915389,Capacité ou besoin de financement
OBJ5260119,Indicateur,27915399,Solde des créances et des dettes
OBJ5260119,Indicateur,27915409,Ajustement
