dimension_id,dimension_name,element_key,element_name
OBJ6959889,Indicateurs,28017969,Nombre ménages
OBJ6959889,Indicateurs,28017979,Ménages selon les source d'approvisionnement en eau potable
OBJ6959889,Indicateurs,28017989,Eau robinet
OBJ6959889,Indicateurs,28017999,Source publique ou association
OBJ6959889,Indicateurs,28018009,Autre source privée ou publique
OBJ6959889,Indicateurs,28018019,Source non controlée
OBJ6959889,Indicateurs,28018029,Ménages loin  plus que 1 km de la plus proche source d'eau liée au SONEDE ou GR
