dimension_id,dimension_name,element_key,element_name
OBJ4847769,Mode d'occupation du logement	,27741699,Total
OBJ4847769,Mode d'occupation du logement	,27741669,Propriétaire
OBJ4847769,Mode d'occupation du logement	,27741679,Locataire
OBJ4847769,Mode d'occupation du logement	,27741689,Habitat gratuit
OBJ4847769,Mode d'occupation du logement	,27844119,Non déclaré
